Accel_X_mean,Accel_X_std,Accel_X_median,Accel_Y_mean,Accel_Y_std,Accel_Y_median,Accel_Z_mean,Accel_Z_std,Accel_Z_median,Gyro_X_mean,Gyro_X_std,Gyro_X_median,Gyro_Y_mean,Gyro_Y_std,Gyro_Y_median,Gyro_Z_mean,Gyro_Z_std,Gyro_Z_median,syllable_count,Label
0.555605469,0.039364131,0.55,-0.252734375,0.047074323,-0.25,0.790722656,0.039956743,0.8,0.876210938,15.54580871,0.68,-0.977402344,11.81810191,-1.27,0.386601563,10.59787811,0.37,2,unlock
0.56026178,0.045373163,0.55,-0.24921466,0.058922174,-0.24,0.788612565,0.055513935,0.8,0.555497382,22.70540398,0.635,-1.035052356,12.80744284,-0.87,0.043795812,15.43212637,0.28,2,unlock
0.553306878,0.0440149,0.54,-0.25515873,0.05191404,-0.25,0.791640212,0.048723304,0.8,-0.341402116,25.009279,1.12,-0.881164021,12.24701025,-0.68,0.473571429,15.48175547,-0.38,2,unlock
0.558412698,0.045789497,0.55,-0.237777778,0.062514366,-0.23,0.792883598,0.053427779,0.8,1.013386243,27.32778415,1.26,-1.165714286,13.72242509,-1.01,-0.245502646,16.64594311,-0.32,2,unlock
0.552315789,0.042815247,0.54,-0.250842105,0.057972119,-0.25,0.793157895,0.047408029,0.8,0.308868421,24.73572581,-0.105,-1.039342105,12.50896714,-0.65,-0.033710526,14.95649383,0.26,2,unlock
0.560555556,0.043058881,0.55,-0.246031746,0.069934559,-0.23,0.789100529,0.061723568,0.8,0.220608466,29.33029637,0.645,-1.286878307,12.97310304,-0.805,0.391984127,18.89967221,-0.13,2,unlock
0.557645503,0.042532699,0.55,-0.238571429,0.064166324,-0.23,0.793624339,0.055740367,0.8,0.477566138,28.91073131,0.74,-1.12489418,10.51989554,-1.11,0.355925926,18.73526044,-0.1,2,unlock
0.557010582,0.053367301,0.55,-0.248333333,0.077883985,-0.24,0.791375661,0.068918986,0.8,0.680132275,31.64618918,1.01,-1.234973545,14.24413214,-0.785,-0.102433862,20.58840415,0.05,2,unlock
0.563597884,0.053575274,0.55,-0.233624339,0.088960019,-0.22,0.790502646,0.070939218,0.8,0.422328042,36.35089027,0.57,-1.258968254,13.4998486,-0.79,0.37978836,24.51175883,0,2,unlock
0.564552632,0.044378557,0.55,-0.230605263,0.065647994,-0.22,0.793078947,0.052229897,0.8,1.196736842,29.89793669,0.515,-0.102315789,12.3101216,-0.76,-0.242921053,20.25822723,0.25,2,unlock
